textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²);
"cb774db0d1,"" I`d have responded, if I were going"",""I`d have responded, if I were going"",neutral,morning,0-20,Afghanistan,38928346,652860,60";
549e992a42, Sooo SAD I will miss you here in San Diego!!!,Sooo SAD,negative,noon,21-30,Albania,2877797,27400,105;
088c60f138,my boss is bullying me...,bullying me,negative,night,31-45,Algeria,43851044,2381740,18;
9642c003ef, what interview! leave me alone,leave me alone,negative,morning,46-60,Andorra,77265,470,164;
"358bd9e861,"" Sons of ****, why couldn`t they put them on the releases we already bought"",""Sons of ****,"",negative,noon,60-70,Angola,32866272,1246700,26";
28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,night,70-100,Antigua and Barbuda,97929,440,223;
6e0c6d75b1,2am feedings for the baby are fun when he is all smiles and coos,fun,positive,morning,0-20,Argentina,45195774,2736690,17;
50e14c0bb8,Soooo high,Soooo high,neutral,noon,21-30,Armenia,2963243,28470,104;
e050245fbd, Both of you,Both of you,neutral,night,31-45,Australia,25499884,7682300,3;
fc2cbefa9d, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),Wow... u just became cooler.,positive,morning,46-60,Austria,9006398,8.24E+04,109;
"2339a9b08b,"" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff"",""as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff"",neutral,noon,60-70,Azerbaijan,10139177,82658,123";
16fab9f95b,I really really like the song Love Story by Taylor Swift,like,positive,night,70-100,Bahamas,393244,10010,39;
74a76f6e0a,My Sharpie is running DANGERously low on ink,DANGERously,negative,morning,0-20,Bahrain,1701575,760,2239;
04dd1d2e34,i want to go to music tonight but i lost my voice.,lost,negative,noon,21-30,Bangladesh,164689383,130170,1265;
bbe3cbf620,test test from the LG enV2,test test from the LG enV2,neutral,night,31-45,Barbados,287375,430,668;
"8a939bfb59,""Uh oh, I am sunburned"",""Uh oh, I am sunburned"",negative,morning,46-60,Belarus,9449323,202910,47";
"3440297f8b,"" S`ok, trying to plot alternatives as we speak *sigh*"",*sigh*,negative,noon,60-70,Belgium,11589623,30280,383";
"919fa93391,""i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw"",sick,negative,night,70-100,Belize,397628,22810,17";
af3fed7fc3,is back home now      gonna miss every one,onna,negative,morning,0-20,Benin,12123200,112760,108;
40e7becabf,Hes just not that into you,Hes just not that into you,neutral,noon,21-30,Bhutan,771608,3.81E+04,20;
"04d17ef61e,"" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"",""oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3"",neutral,night,31-45,Bolivia,11673021,1083300,11";
e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,interesting.,positive,morning,46-60,Bosnia and Herzegovina,3280819,51000,64;
7de057cf40,is cleaning the house for her family who is comming later today..,is cleaning the house for her family who is comming later today..,neutral,noon,60-70,Botswana,2351627,566730,4;
9ce5570064,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,night,70-100,Brazil,212559417,8358140,25;
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,morning,0-20,Brunei,437479,5270,83;
"e00c6ef376,""the free fillin` app on my ipod is fun, im addicted"",""the free fillin` app on my ipod is fun, im addicted"",positive,noon,21-30,Bulgaria,6948445,108560,64";
852edc3769,  I`m sorry.,I`m sorry.,negative,night,31-45,Burkina Faso,20903273,273600,76;
bdc32ea43c,On the way to Malaysia...no internet access to Twit,.no internet,negative,morning,46-60,Burundi,11890784,25680,463;
6ce4a4954b,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,fun,positive,noon,60-70,Côte d'Ivoire,26378274,318000,83
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,negative,night,70-100,Cabo Verde,555987,4.03E+03,138;
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,positive,morning,0-20,Cambodia,16718965,176520,95;
7d8c4c11e4,i hope unni will make the audition . fighting dahye unni !,hope,positive,noon,21-30,Cameroon,26545863,472710,56;
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative,night,31-45,Canada,37742154,9093510,4;
2dc51711bc, That`s very funny.  Cute kids.,funny.,positive,morning,46-60,Central African Republic,4829767,622980,8;
"d21ab5855b,"" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."",""Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army."",neutral,noon,60-70,Chad,16425864,1259200,13";
"4f5267ad70,""Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4"",""Thats it, its the end. Tears for Fears"",neutral,night,70-100,Chile,19116201,743532,26";
2724775d6b,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,miss,negative,morning,0-20,China,1439323776,9388211,153;
"1cbc812ece,""just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"",""just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned"",neutral,noon,21-30,Colombia,50882891,1109500,46";
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative,night,31-45,Comoros,869601,1861,467;
"2863f435bd,""A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day"",A little happy fo,positive,morning,46-60,Congo (Congo-Brazzaville),5518087,3.42E+05,16";
"d93afa85cf,"" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"",""Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting"",neutral,noon,60-70,Costa Rica,5094118,51060,100";
fab6b7d16c,im an avid fan of **** magazine and i love your magazines,avid fan of,positive,night,70-100,Croatia,4105267,55960,73;
2e7082d1c8,MAYDAY?!,MAYDAY?!,neutral,morning,0-20,Cuba,11326616,106440,106;
"684081e4e7,""RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"",""RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"",neutral,noon,21-30,Cyprus,1207359,9240,131";
c77717b103, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.Ã¯Â¿Â½,I love to!,positive,night,31-45,Czechia (Czech Republic),10708981,77240,139;
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,morning,46-60,Democratic Republic of the Congo,89561403,2267050,40;
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative,noon,60-70,Denmark,5792202,42430,137;
c3924dc9e4,:visiting my friendster and facebook,:visiting my friendster and facebook,neutral,night,70-100,Djibouti,988000,23180,43;
"3d9d4b0b55,""i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more"",dont like go,negative,morning,0-20,Dominica,71986,750,96";
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,negative,noon,21-30,Dominican Republic,10847910,4.83E+04,225;
a3ae670885, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,night,31-45,Ecuador,17643054,248360,71;
"15d5f3a41b,"" also bored at school, its my third freelesson( freistunde )"",""also bored at school, its my third freelesson( freistunde )"",neutral,morning,46-60,Egypt,102334404,995450,103";
3c4a21b2cb, hm... Both of us I guess...,hm... Both of us I guess...,neutral,noon,60-70,El Salvador,6486205,20720,313;
11084dac09, it is ****...u have dissappointed me that past few days,it is ****...u have dissappointed me that past few days,negative,night,70-100,Equatorial Guinea,1402985,28050,50;
d8ba2a99a9, romance zero is funny,romance zero is funny,positive,morning,0-20,Eritrea,3546421,101000,35;
e77fd45003, I`d rather do the early run..but I am a morning runner,I`d rather do the early run..but I am a morning runner,neutral,noon,21-30,Estonia,1326535,42390,31;
"b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,negative,night,31-45,""Eswatini (fmr. """"Swaziland"""")"",1160164,17200,67";
6086b1f016,will be back later.  http://plurk.com/p/rp3k7,will be back later.,neutral,morning,46-60,Ethiopia,114963588,1000000,115;
703afdc44b,Aw. Torn ace of hearts  #Hunchback,Torn ace of hearts,negative,noon,60-70,Fiji,896445,18270,49;
90f3d2b572, what fun are you speaking of?,what fun are you speaking of?,neutral,night,70-100,Finland,5540720,3.04E+05,18;
"52483f7da8,""i lost all my friends, i`m alone and sleepy..i wanna go home"",""i lost all my friends, i`m alone and sleepy.."",negative,morning,0-20,France,65273511,547557,119";
a4b0888da6, haha yes,haha yes,neutral,noon,21-30,Gabon,2225734,257670,9;
2a9765b7f9,I give in to easily,I give in to easily,negative,night,31-45,Gambia,2416668,10120,239;
90a2cdb657,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,favorite,positive,morning,46-60,Georgia,3989167,69490,57;
98f25bc596,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,jealous..,negative,noon,60-70,Germany,83783942,348560,240;
23e1f7dca4,Is at a photoshoot.,Is at a photoshoot.,neutral,night,70-100,Ghana,31072940,227540,137;
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive,morning,0-20,Greece,10423054,128900,81;
c34feef039,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral,noon,21-30,Grenada,112523,340,331;
fa2654e730,Chilliin,Chilliin,positive,night,31-45,Guatemala,17915568,107160,167;
"187494c25b,"" If you know such agent, do let me know"",""If you know such agent, do let me know"",neutral,morning,46-60,Guinea,13132795,2.46E+05,53";
4213627c3c,I still smell of smoke  #kitchenfire,I still smell of smoke  #kitchenfire,neutral,noon,60-70,Guinea-Bissau,1968001,28120,70;
a4e00d4d26, a celtics-lakers rematch sounds better don`t you think? lol,better,positive,night,70-100,Guyana,786552,196850,4;
"04e2e334de,""Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc"",""Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc"",neutral,morning,0-20,Haiti,11402528,27560,414";
"0c4aa867d0,""'you can ride one, you can catch one, but its not summer til you pop open one'  ?"",""'you can ride one, you can catch one, but its not summer til you pop open one'  ?"",neutral,noon,21-30,Holy See,801,0,2003";
a6c61eac26, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,night,31-45,Honduras,9904607,111890,89;
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,morning,46-60,Hungary,9660351,90530,107;
"35f393a245,""WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD."",BADDD.,negative,noon,60-70,Iceland,341243,100250,3";
b2c9f115b1, My sources say no,My sources say no,neutral,night,70-100,India,1380004385,2973190,464;
0a61cbf4b5,I am sooo tired,I am sooo tired,negative,morning,0-20,Indonesia,273523615,1811570,151;
"ee9ec7a5a4,"" Hey, you change your twitter account, and you didn`t even tell me..."",""Hey, you change your twitter account, and you didn`t even tell me..."",neutral,noon,21-30,Iran,83992949,1.63E+06,52";
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,night,31-45,Iraq,40222493,434320,93;
58d382e07a, lucky kid...i so wanna see loserville  pity im in oz....,lucky,positive,morning,46-60,Ireland,4937786,68890,72;
cb4d439ebc,fell asleep waiting for my ride!,fell asleep waiting for my ride!,neutral,noon,60-70,Israel,8655535,21640,400;
64ed512788,Sick. With a flu like thing.,Sick.,negative,night,70-100,Italy,60461826,294140,206;
"4cd390c007,""Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys"","", sorry guys"",negative,morning,0-20,Jamaica,2961167,10830,273";
3d2fcd78c8,Happy Star Wars day everyone! and Enjoy the holiday (UK),Happy Star Wars day everyone! and Enjoy the holiday (UK),positive,noon,21-30,Japan,126476461,364555,347;
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral,night,31-45,Jordan,10203134,88780,115;
"cd0d522bb1,""His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him."",""His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him."",neutral,morning,46-60,Kazakhstan,18776707,2699700,7";
bffa3ddd61,i miss you bby      wish you were going tomorrow to make me do good.,i miss you bby,negative,noon,60-70,Kenya,53771296,569140,94;
9339ee8e0b, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,cool,positive,night,70-100,Kiribati,119449,8.10E+02,147;
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,Love it there,positive,morning,0-20,Kuwait,4270571,17820,240;
4ce121e2ad,_Mounce yes and it lasts way past my bedtime!,_Mounce yes and it lasts way past my bedtime!,neutral,noon,21-30,Kyrgyzstan,6524195,191800,34;
a3de81e1ba, Hi  how are you doing ???  *just joined twitter...*,Hi  how are you doing ???  *just joined twitter...,neutral,night,31-45,Laos,7275560,230800,32;
55bacda5eb,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,tired,negative,morning,46-60,Latvia,1886198,62200,30;
b63ed6da62,eating ice cream and then getting ready for graduation.,eating ice cream and then getting ready for graduation.,neutral,noon,60-70,Lebanon,6825445,10230,667;
4c41a35a2a,Happy Mothers day to all you Mums out there,Happy Mothers day to all you Mums out there,positive,night,70-100,Lesotho,2142249,30360,71;
"61a8e11e8a,"" CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?"",freaked,negative,morning,0-20,Liberia,5057681,96320,53";
447dc22c81, hemp cloth is marvelous but unfortunately no,unfortunately,negative,noon,21-30,Libya,6871292,1759540,4;
3408db03a3,Gonna read a story bout adam lambert online then bed. Nighty night,Gonna read a story bout adam lambert online then bed. Nighty night,neutral,night,31-45,Liechtenstein,38128,160,238;
